5.488135,7.151894,6.027634
5.448832,4.236548,6.458941
4.375872,8.917730,9.636628
3.834415,7.917250,5.288949
5.680446,9.255966,0.710361
0.871293,0.202184,8.326198
7.781568,8.700121,9.786183
7.991586,4.614794,7.805292
1.182744,6.399210,1.433533
9.446689,5.218483,4.146619
2.645556,7.742337,4.561503
5.684339,0.187898,6.176355
6.120957,6.169340,9.437481
6.818203,3.595079,4.370320
6.976312,0.602255,6.667667
6.706379,2.103826,1.289263
3.154284,3.637108,5.701968
4.386015,9.883738,1.020448
2.088768,1.613095,6.531083
2.532916,4.663108,2.444256
1.589696,1.103751,6.563296
1.381830,1.965824,3.687252
8.209932,0.971013,8.379449
0.960984,9.764595,4.686512
9.767611,6.048455,7.392636
0.391878,2.828070,1.201966
2.961402,1.187277,3.179832
4.142630,0.641475,6.924721
5.666015,2.653895,5.232481
0.939405,5.759465,9.292962
